brand,product_name,discount_rate,price
Colors,Windows W10 1/8 4.7&quot; Smart Mobile Phone [1GB RAM|  8GB ROM] -Black,-66%,Rs.  4 999.00
OnePlus,3T Smart Phone - [6GB RAM| 64GB ROM] Soft Gold,-18%,Rs.  39 990.00
OBI,SF1 Smartphone (2GB RAM| 16GB ROM)- Black,-45%,Rs.  8 615.00
Panasonic,Eluga A2 (3 GB RAM| 16 GB ROM 8 MP| 5 MP Camera) 4G Smart Phone- Gold,-30%,Rs.  11 000.00
Micromax,E481  Canvas 5 Smartphone (3GB RAM| 16GB ROM)- Black,-44%,Rs.  11 499.00
Zopo,Color F2 Smartphone - (1GB RAM| 16GB ROM)- Black,-43%,Rs.  8 000.00
OBI,SF1 (32GBROM| 3GB RAM| 13 MP|5 MP) Smart Mobile Phone -Black,-45%,Rs.  13 000.00
Lava,IRS 80 Smartphone (16GB ROM| 2.0GB RAM) 5.0&quot; -  Black,-11%,Rs.  10 256.00
Panasonic,Eluga Arc 2 [32 GB ROM| 3 GB RAM] 4G Android Smart Mobile Phone - White,-34%,Rs.  14 500.00
Micromax,YU Yunicorn Android Smartphone (4GB RAM| 32GB ROM) - Champagne Gold,-41%,Rs.  15 999.00
Karbonn,Titanium S205 [2GB RAM| 16GB ROM] Smart Phone With Back Cover Free - (Black/Blue),-43%,Rs.  7 300.00
Samsung,Galaxy J5 Prime Smart Mobile Phone [2GB RAM| 16GB ROM - Black],-17%,Rs.  18 660.00
Zopo,Speed X Mobile Phone (RAM:3GB Internal storage:32GB)-Gold,Rs.  20,990.00,Rs.  20 990.00
Micromax,E451 (CANVAS PULSE) Smartphone [3 GB RAM| 16 GB ROM]- Black,-46%,Rs.  8 999.00
Zopo,Color F5 (Gold| 2GB RAM + 16GB ROM) 4G,Rs.  14,990.00,Rs.  14 990.00
Lava,R1 Smartphone (2GB RAM| 16 GB Internal)- Gold,-13%,Rs.  12 205.00
Panasonic,Eluga I3  [2GB RAM| 16GB ROM] 4G Android Smart Mobile Phone - Blue,-31%,Rs.  11 500.00
Huawei,NOVA 2I Smartphone (64GB ROM| 4.0GB RAM) 5.9&quot;- Black,-6%,Rs.  32 071.00
Zopo,X5.5 Smartphone (3 GB RAM| 16 GB Internal )- Gold,Rs.  15,900.00,Rs.  15 900.00
Huawei,Y3 II Smartphone (8GB ROM| 1.0GB RAM) 4.5&quot;- Gold,-12%,Rs.  7 899.00
Huawei,Y5 II Smart Phone (1GB RAM| 8 GB Internal)- Gold,-15%,Rs.  10 256.00
Karbonn,Aura Note 4G [2GB RAM| 16GB ROM] 5.5&quot; Smart Mobile Phone - (Black/Gold),-29%,Rs.  11 000.00
Apple,Iphone 8 Plus (256GB ROM| 3GB RAM) - Space Grey,Rs.  133,000.00,Rs.  133 000.00
Micromax,E451 Canvas Pulse 4G Smartphone (16GB ROM| 3GB RAM)- Black,-46%,Rs.  8 999.00
Micromax,Canvas 6 E485 Smart Mobile Phone (3GB RAM| 32GB ROM)- Gold,-37%,Rs.  14 999.00
Zopo,Color C3 Smartphone (2GB RAM| 16GB ROM)- Gold,Rs.  12,990.00,Rs.  12 990.00
Microsoft,Lumia 540 Black (1GB/8GB),-50%,Rs.  7 800.00
Xiaomi,MI Mix 2 Smartphone (6GB RAM| 64GB ROM) 5.99&quot; Full Screen Display- Black,-2%,Rs.  62 565.00
Samsung,Galaxy On7 Pro Smart Phone (2GB RAM| 16GB ROM)- Gold,-4%,Rs.  14 850.00
Nokia,Microsoft Lumia 435 Double Sim (Black),-50%,Rs.  4 400.00
Leagoo,Z5 Smart Mobile Phone (8 GB ROM| 1 GB RAM) - Gold,-8%,Rs.  5 960.00
Nokia,Microsoft Lumia 532 Double Sim (Black),-50%,Rs.  5 200.00
Nokia,6 Android SmartPhone [3 GB RAM| 32 GB ROM] - Black,-5%,Rs.  24 320.00
Colors,S1 Smartphone (8GB ROM| 1GB RAM) 5.0&quot;- Gold,-7%,Rs.  9 333.00
Huawei,Y3 2017 Smart Phone [8GB ROM| 1.0GB RAM] 5.0&quot;- (Gold),-9%,Rs.  9 949.00
Samsung,J2 Smartphone (8GB ROM| 1GB RAM) 4.7&quot;- Black,-6%,Rs.  10 360.00
Nokia,X2 Black Smart Phone(4 GB ROM| 1 GB RAM| Dual Sim),-50%,Rs.  6 750.00
Nokia,Microsoft Lumia 532 Double Sim (8 GB| Orange),-50%,Rs.  5 200.00
Samsung,J2 Ace Smartphone (8GB ROM| 1.5GB RAM) 5.0&quot; - Gold,-6%,Rs.  12 225.00
Huawei,Y5 II Smart Phone (1GB RAM| 8 GB Internal)- White,-15%,Rs.  10 256.00
